"ID";"word";"word_url";"Translation";"POS";"Phonetic_Transcription";"Meaning";"Phrase";"Translation_Phrase";"Example";"Example_Phrase";"sPhrase";"sExample";"Image";"Credits";"Tags"
"mince__02__verb";"to mince";"mince";"andar em passos curtos e rápidos";"verb";" /mɪns/";"verb
[intransitive always + adverb/preposition] To walk with very quick, short steps in a way that looks unnatural or silly.";"She was mincing about in her high-heeled shoes.";"Ela estava se mexendo em seus sapatos de salto alto.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive"
"mince__03__noun";"mince";"mince";"carne moída";"noun";" /mɪns/";"noun  [uncountable]
Meat, especially beef, that has been cut into very small pieces using a special machine.";"I bought a pound of freshly ground mince from the butcher to make mouthwatering homemade burgers.";"Comprei meio quilo de carne moída na hora do açougueiro para fazer hambúrgueres caseiros de dar água na boca.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun uncountable"
"mob__01__noun";"mob";"mob";"multidão";"noun";" /mɒb $ mɑːb/";"noun  [countable]
A large noisy crowd, especially one that is angry and violent.";"A mob of a few hundred demonstrators";"Uma multidão de algumas centenas de manifestantes";"The leadership had been criticized for giving in to mob rule  (=when a mob controls the situation rather than the government or the law).";"A liderança foi criticada por ceder ao domínio da turba (= quando uma turba controla a situação em vez do governo ou da lei).";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"mob__02__noun";"mob";"mob";"multidão";"noun";" /mɒb $ mɑːb/";"noun  [countable]
[British English] A group of people of the same type. (SYN gang)";"What happens if they send the heavy mob round to find him?";"O que acontece se eles enviarem a multidão pesada para encontrá-lo?";"The usual mob of teenagers were standing on the corner.";"A multidão habitual de adolescentes estava parada na esquina.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable British"
"mob__03__verb";"to mob";"mob";"aglomerar";"verb";" /mɒb $ mɑːb/";"verb  (mobbed, mobbing) [transitive]
If people mob a famous person, they rush to get close to them and form a crowd around them.";"Fans ran onto the pitch and mobbed the batsman.";"Os fãs correram para o campo e cercaram o batedor.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb transitive"
"mob__04__verb";"to mob";"mob";"atacar em grupo";"verb";" /mɒb $ mɑːb/";"verb  (mobbed, mobbing) [transitive]
If a group of birds or animals mob another bird or animal, they all attack it.";"The flock of seagulls mobbed the lone pelican, relentlessly pecking at its feathers, while it desperately tried to escape the feathered mob.";"O bando de gaivotas cercou o pelicano solitário, bicando implacavelmente suas penas, enquanto tentava desesperadamente escapar da multidão emplumada.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb transitive"
"monumental__01__adjective";"monumental";"monumental";"monumental";"adjective";" /ˌmɒnjəˈmentl◂ $ ˌmɑː-/";"adjective
[usually before noun] A monumental achievement, piece of work etc is very important and is usually based on many years of work.";"Charles darwin’s monumental study, ‘the origin of species’";"O monumental estudo de Charles Darwin, “a origem das espécies”";"Charles darwin’s monumental study, ‘the origin of species’";"O monumental estudo de Charles Darwin, “a origem das espécies”";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective usually before noun"
"monumental__02__adjective";"monumental";"monumental";"monumental";"adjective";" /ˌmɒnjəˈmentl◂ $ ˌmɑː-/";"adjective
[only before noun] Extremely large, bad, good, impressive etc.";"Banks and building societies were yesterday accused of monumental incompetence.";"Bancos e sociedades de construção foram ontem acusados ​​de incompetência monumental.";"A monumental task";"Uma tarefa monumental";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective only before noun"
"monumental__03__adjective";"monumental";"monumental";"monumental";"adjective";" /ˌmɒnjəˈmentl◂ $ ˌmɑː-/";"adjective
[only before noun] Relating to a monument or built as a monument.";"A monumental arch";"Um arco monumental";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective only before noun"
"moor__01__noun";"moor";"moor";"charneca";"noun";" /mʊə $ mʊr/";"noun  [countable usually plural]
[especially British English] A wild open area of high land, covered with rough grass or low bushes and heather, that is not farmed because the soil is not good enough.";"They went grouse shooting up on the moors.";"Eles foram galos caçando nos pântanos.";"The yorkshire moors";"os pântanos de yorkshire";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable usually plural Especially british"
"moor__02__verb";"to moor";"moor";"atracar";"verb";" /mʊə $ mʊr/";"verb  [intransitive, transitive]
To fasten a ship or boat to the land or to the bottom of the sea using ropes or an anchor.";"Two or three fishing boats were moored alongside the pier.";"Dois ou três barcos de pesca estavam atracados ao longo do cais.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive, transitive"
"moor__03__noun";"moor";"moor";"mouro";"noun";" /mʊə $ mʊr/";"noun  [countable]
One of the muslim people from north africa who entered spain in the 8th century and ruled the southern part of the country until 1492.";"During the Islamic Golden Age, the Moors in Spain established breathtaking architectural marvels, including the stunning Alhambra Palace.";"Durante a Idade de Ouro islâmica, os mouros na Espanha estabeleceram maravilhas arquitetônicas de tirar o fôlego, incluindo o impressionante Palácio de Alhambra.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"mutate__01__verb";"to mutate";"mutate";"mutar";"verb";" /mjuːˈteɪt $ ˈmjuːteɪt/";"verb  [intransitive]
If an animal or plant mutates, it becomes different from others of the same kind, because of a change in its genetic structure.";"Simple organisms like bacteria mutate rapidly.";"Organismos simples, como bactérias, sofrem mutações rapidamente.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive"
"mutate__02__verb";"to mutate";"mutate";"mutar";"verb";" /mjuːˈteɪt $ ˈmjuːteɪt/";"verb  [intransitive]
To change and develop a new form.";"Technology continues to mutate at an alarming rate.";"A tecnologia continua a sofrer mutações em um ritmo alarmante.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive"
"myopia__01__noun";"myopia";"myopia";"miopia";"noun";" /maɪˈəʊpiə $ -ˈoʊ-/";"noun  [uncountable]
When someone does not think about the future, especially about the possible results of a particular action – used to show disapproval. (SYN short-sightedness)";"In their myopia, the company failed to invest in research and development, ultimately leading to their downfall when a competitor launched a groundbreaking product.";"Em sua miopia, a empresa não investiu em pesquisa e desenvolvimento, o que acabou levando à sua queda quando um concorrente lançou um produto inovador.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun uncountable"
"myopia__02__noun";"myopia";"myopia";"miopia";"noun";" /maɪˈəʊpiə $ -ˈoʊ-/";"noun  [uncountable]
The inability to see clearly things that are far away. (SYN short-sightedness British English)";"Despite his myopia, John was able to excel in photography by capturing intimate details that others might have overlooked.";"Apesar de sua miopia, John foi capaz de se destacar na fotografia, capturando detalhes íntimos que outros poderiam ter esquecido.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun uncountable"
"nearsighted__01__adjective";"nearsighted";"nearsighted";"miopia";"adjective";" /ˌnɪəˈsaɪtɪd◂ $ ˈnɪrsaɪtɪd/";"adjective
Unable to see things clearly unless they are close to you. (SYN short-sighted British English)
— [noun] nearsightedness";""Gary's nearsightedness became evident when he tripped over his own foot as he closely examined a tiny insect crawling on a flower petal."";""A miopia de Gary ficou evidente quando ele tropeçou no próprio pé enquanto examinava de perto um minúsculo inseto rastejando em uma pétala de flor."";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective"
"niche__01__noun";"niche";"niche";"nicho";"noun";" /niːʃ, nɪtʃ $ nɪtʃ, niːʃ/";"noun
[countable] If you find your niche, you find a job or activity that is very suitable for you.";"Amanda soon found her niche at the club.";"Amanda logo encontrou seu nicho no clube.";"Amanda soon found her niche at the club.";"Amanda logo encontrou seu nicho no clube.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"niche__02__noun";"niche";"niche";"nicho";"noun";" /niːʃ, nɪtʃ $ nɪtʃ, niːʃ/";"noun
[singular] An opportunity to sell a product or service to a particular group of people who have similar needs, interests etc.";"He spotted a niche in the market.";"Ele identificou um nicho no mercado.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun singular"
"niche__03__noun";"niche";"niche";"nicho";"noun";" /niːʃ, nɪtʃ $ nɪtʃ, niːʃ/";"noun
[countable] A hollow place in a wall, often made to hold a statue.";"The beautifully crafted niche in the cathedral wall perfectly cradled the exquisite marble statue of the Virgin Mary.";"O nicho lindamente trabalhado na parede da catedral embalava perfeitamente a requintada estátua de mármore da Virgem Maria.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"niche__04__adjective";"niche";"niche";"de nicho";"adjective";" /niːʃ, nɪtʃ $ nɪtʃ, niːʃ/";"adjective  [only before noun]
Relating to selling goods to a particular small group of people who have similar needs, interests etc.";"A niche market";"Um nicho de mercado";"A niche product";"um produto de nicho";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective only before noun"
"noble__01__adjective";"noble";"noble";"nobre";"adjective";" /ˈnəʊbəl $ ˈnoʊ-/";"adjective
Morally good or generous in a way that is admired.";"It’s very noble of you to spend all your weekends helping the old folk.";"É muito nobre da sua parte passar todos os fins de semana ajudando os velhos.";"It’s very noble of you to spend all your weekends helping the old folk.";"É muito nobre da sua parte passar todos os fins de semana ajudando os velhos.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective"
"noble__02__adjective";"noble";"noble";"nobre";"adjective";" /ˈnəʊbəl $ ˈnoʊ-/";"adjective
[only before noun] Belonging to the nobility.";"A member of an ancient noble family";"Um membro de uma antiga família nobre";"A member of an ancient noble family";"Um membro de uma antiga família nobre";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective only before noun"
"noble__03__adjective";"noble";"noble";"nobre";"adjective";" /ˈnəʊbəl $ ˈnoʊ-/";"adjective
Something that is noble is very impressive and beautiful.";"The old church with its noble tower";"A velha igreja com sua nobre torre";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective"
"noble__04__noun";"noble";"noble";"nobre";"noun";" /ˈnəʊbəl $ ˈnoʊ-/";"noun  [countable]
A member of the highest social class with a title such as ‘duke’ or ‘countess’.";"The noble attended the grand ball, gracefully mingling with other aristocrats as the highest-ranking countess in the land.";"A nobre compareceu ao grande baile, misturando-se graciosamente com outros aristocratas como a condessa de mais alto escalão do país.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"nod__01__verb";"to nod";"nod";"acenar com a cabeça";"verb";" /nɒd $ nɑːd/";"verb  (nodded, nodding) [intransitive, transitive]
To move your head up and down, especially in order to show agreement or understanding.";"Corbett nodded his acceptance.";"Corbett acenou com a aceitação.";"Corbett nodded his acceptance.";"Corbett acenou com a aceitação.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive, transitive"
"nod__02__verb";"to nod";"nod";"acenar com a cabeça";"verb";" /nɒd $ nɑːd/";"verb  (nodded, nodding) [intransitive, transitive]
To move your head down and up again once in order to greet someone or give someone a sign to do something.";"She nodded to us as she walked by.";"Ela acenou para nós enquanto passava.";"She nodded to us as she walked by.";"Ela acenou para nós enquanto passava.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive, transitive"
"nod__03__noun";"nod";"nod";"aceno de cabeça";"noun";" /nɒd $ nɑːd/";"noun
[countable] An act of nodding.";"I showed the doorman my card and he gave a friendly nod.";"Mostrei meu cartão ao porteiro e ele acenou com a cabeça amigavelmente.";"I showed the doorman my card and he gave a friendly nod.";"Mostrei meu cartão ao porteiro e ele acenou com a cabeça amigavelmente.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"overturn__01__verb";"to overturn";"overturn";"virar de cabeça para baixo";"verb";" /ˌəʊvəˈtɜːn $ ˌoʊvərˈtɜːrn/";"verb
[intransitive, transitive] If you overturn something, or if it overturns, it turns upside down or falls over on its side.";"His car overturned, trapping him inside.";"Seu carro capotou, prendendo-o lá dentro.";"Leslie jumped to her feet, overturning her chair.";"Leslie levantou-se de um salto, virando a cadeira.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb intransitive, transitive"
"overturn__02__verb";"to overturn";"overturn";"derrubar";"verb";" /ˌəʊvəˈtɜːn $ ˌoʊvərˈtɜːrn/";"verb
[transitive] To suddenly remove a government from power, especially by using violence. (SYN overthrow)";"The revolutionaries planned to overturn the oppressive regime and create a new democratic society.";"Os revolucionários planejavam derrubar o regime opressivo e criar uma nova sociedade democrática.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb transitive"
"peasant__01__noun";"peasant";"peasant";"camponês";"noun";" /ˈpezənt/";"noun  [countable]
A poor farmer who owns or rents a small amount of land, either in past times or in poor countries.";"Most villagers are peasant farmers.";"A maioria dos aldeões são camponeses.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"peasant__02__noun";"peasant";"peasant";"camponês";"noun";" /ˈpezənt/";"noun  [countable]
An insulting word for someone who does not behave politely in social situations or is not well educated.";"During the formal gala, the elderly countess sharply rebuked the impolite young man for his crude comments, labeling him a peasant unfit for high society.";"Durante a gala formal, a velha condessa repreendeu duramente o jovem indelicado por seus comentários grosseiros, rotulando-o de camponês inadequado para a alta sociedade.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"pesticide__01__noun";"pesticide";"pesticide";"pesticida";"noun";" /ˈpestɪsaɪd/";"noun  [countable, uncountable]
A chemical substance used to kill insects and small animals that destroy crops.";"By 7am his eyes will be weeping and raw from the sulphurous pesticides in the soil.";"Por volta das 7h, seus olhos estarão lacrimejantes e esfolados por causa dos pesticidas sulfurosos no solo.";"By 7am his eyes will be weeping and raw from the sulphurous pesticides in the soil.";"Por volta das 7h, seus olhos estarão lacrimejantes e esfolados por causa dos pesticidas sulfurosos no solo.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable, uncountable"
"picture__01__noun";"picture";"picture";"imagem";"noun";" /ˈpɪktʃə $ -ər/";"noun
[PAINTING/DRAWING]
[countable] Shapes, lines etc painted or drawn on a surface, showing what someone or something looks like.";"The room had several pictures on the walls.";"A sala tinha vários quadros nas paredes.";"A book with pictures in it";"Um livro com fotos nele";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun PAINTING DRAWING countable"
"picture__02__noun";"picture";"picture";"foto";"noun";" /ˈpɪktʃə $ -ər/";"noun
[PHOTOGRAPH]
[countable] A photograph.";"I asked the waiter if he’d mind taking our picture.";"Perguntei ao garçom se ele se importaria de tirar uma foto nossa.";"I asked the waiter if he’d mind taking our picture.";"Perguntei ao garçom se ele se importaria de tirar uma foto nossa.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun PHOTOGRAPH countable"
"picture__03__noun";"picture";"picture";"imagem";"noun";" /ˈpɪktʃə $ -ər/";"noun
[TELEVISION]
[countable] An image that appears on a television or cinema screen.";"Satellite pictures from space";"Imagens de satélite do espaço";"Upsetting pictures of the famine in africa";"Imagens perturbadoras da fome na África";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun TELEVISION countable"
"picture__04__noun";"picture";"picture";"imagem";"noun";" /ˈpɪktʃə $ -ər/";"noun
[DESCRIPTION/IDEA]
[countable usually singular] A description or idea of what something is like.";"The book gives you a good picture of what life was like in japan in the early 19th century.";"O livro oferece uma boa imagem de como era a vida no Japão no início do século XIX.";"The book gives you a good picture of what life was like in japan in the early 19th century.";"O livro oferece uma boa imagem de como era a vida no Japão no início do século XIX.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun DESCRIPTION IDEA countable usually singular"
"picture__05__noun";"picture";"picture";"quadro";"noun";" /ˈpɪktʃə $ -ər/";"noun
[SITUATION]
[singular] The general situation in a place, organization etc.";"We were so caught up with the details, we lost sight of the big picture  (=the situation considered as a whole).";"Estávamos tão envolvidos com os detalhes que perdemos de vista o quadro geral (= a situação considerada como um todo).";"We were so caught up with the details, we lost sight of the big picture  (=the situation considered as a whole).";"Estávamos tão envolvidos com os detalhes que perdemos de vista o quadro geral (= a situação considerada como um todo).";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun SITUATION singular"
